data_registro,servidor,cpu_pct,memoria_pct
2026-08-18,SRV-DB-01,69.55,89.61
2026-08-18,SRV-APP-01,32.85,72.77
2026-08-19,SRV-PROD-01,70.2,81.73
2026-08-19,SRV-PROD-02,40.26,50.19
2026-08-19,SRV-DB-01,75.44,74.45
2026-08-19,SRV-APP-01,70.01,75.2
2026-08-20,SRV-PROD-01,51.4,73.48
2026-08-20,SRV-PROD-02,70.86,59.28
2026-08-20,SRV-DB-01,102.32,77.11
2026-08-20,SRV-APP-01,41.17,79.85
2026-08-21,SRV-PROD-01,45.51,81.81
2026-08-21,SRV-PROD-02,88.17,57.69
2026-08-21,SRV-DB-01,84.27,76.19
2026-08-21,SRV-APP-01,81.44,98.45
2026-08-22,SRV-PROD-01,60.09,58.69
2026-08-22,SRV-PROD-02,47.21,57.76
2026-08-22,SRV-DB-01,63.46,75.12
2026-08-22,SRV-APP-01,70.53,82.41
2026-08-23,SRV-PROD-01,65.26,91.8
2026-08-23,SRV-PROD-02,59.71,110.8
2026-08-23,SRV-DB-01,77.51,57.14
2026-08-23,SRV-APP-01,43.58,77.24
2026-08-24,SRV-PROD-01,60.53,80.71
2026-08-24,SRV-PROD-02,74.46,68.91
2026-08-24,SRV-DB-01,48.06,47.28
2026-08-24,SRV-APP-01,56.07,82.85
2026-08-25,SRV-PROD-01,69.28,51.31
2026-08-25,SRV-PROD-02,68.46,75.78
2026-08-25,SRV-DB-01,47.32,72.31
2026-08-25,SRV-APP-01,66.16,52.86
2026-08-26,SRV-PROD-01,72.16,78.41
2026-08-26,SRV-PROD-02,86.66,85.81
2026-08-26,SRV-DB-01,37.45,55.93
2026-08-26,SRV-APP-01,75.3,77.71
2026-08-27,SRV-PROD-01,75.3,127.79
2026-08-27,SRV-PROD-02,76.42,87.03
2026-08-27,SRV-DB-01,84.08,79.77
2026-08-27,SRV-APP-01,58.69,81.38
2026-08-28,SRV-PROD-01,49.54,66.45
2026-08-28,SRV-PROD-02,55.29,71.23
2026-08-28,SRV-DB-01,111.29,41.99
2026-08-28,SRV-APP-01,78.73,45.81
2026-08-29,SRV-PROD-01,55.56,86.33
2026-08-29,SRV-PROD-02,66.29,53.83
2026-08-29,SRV-DB-01,50.69,80.19
2026-08-29,SRV-APP-01,50.39,73.25
2026-08-30,SRV-PROD-01,65.91,60.23
2026-08-30,SRV-PROD-02,107.88,79.51
2026-08-30,SRV-DB-01,24.5,72.8
2026-08-30,SRV-APP-01,51.76,82.79
